YEAR	DECJAN	JANFEB	FEBMAR	MARAPR	APRMAY	MAYJUN	JUNJUL	JULAUG	AUGSEP	SEPOCT	OCTNOV	NOVDEC
1871	.032	-.055	.005	.42	.195	-.639	-.842	-.474	-.143	.072	.107	-.206
1872	-.633	-.875	-.864	-.664	-.59	-.618	-.658	-.795	-.8	-.669	-.651	-.847
1873	-.93	-.991	-1.301	-1.489	-1.066	-.689	-.657	-.646	-.318	-.012	-.355	-.54
1874	-.611	-.802	-1.036	-1.275	-1.258	-.964	-.902	-1.143	-1.148	-1.003	-.771	-.679
1875	-.774	-.686	-.67	-.958	-1.315	-1.812	-1.964	-1.553	-1.295	-.993	-.682	-.688
1876	-.878	-1.196	-1.504	-1.691	-1.878	-1.845	-1.435	-.867	-.393	-.071	.088	.17
1877	.193	.334	.373	.353	.441	.69	1.318	1.687	1.788	2.07	2.165	1.763
1878	1.877	2.361	2.495	1.883	1.006	.58	.54	.235	-.371	-.845	-.911	-.921
1879	-1.005	-.729	-.445	-.447	-.956	-1.18	-.827	-.607	-.523	-.557	-.72	-1.031
1880	-1.057	-.83	-.899	-1.069	-.965	-.595	.113	.394	.083	-.228	-.128	.17
1881	.148	.215	.174	.082	-.105	-.062	-.153	-.559	-.656	-.389	-.499	-.776
1882	-.598	-.461	-.585	-.799	-1.028	-.97	-.686	-.436	-.267	-.261	-.379	-.404
1883	-.562	-.628	-.562	-.672	-1.07	-.898	-.284	-.228	-.314	-.01	.004	-.012
1884	.094	.121	.112	.369	.786	.725	.368	.433	.628	.525	.333	.432
1885	.639	.599	.262	.247	.588	.414	-.044	.211	.506	.804	1.216	.914
1886	.384	.112	.016	-.103	-.619	-1.274	-1.466	-1.351	-1.228	-1.233	-1.306	-1.272
1887	-1.451	-1.573	-1.313	-1.088	-1.257	-.926	-.066	.194	.113	-.154	-.314	-.155
1888	.036	.389	.792	.948	.874	.921	1.038	1.34	1.732	1.788	1.723	1.851
1889	1.893	1.865	1.618	1.163	.481	-.068	-.555	-1.192	-1.494	-1.534	-1.532	-1.451
1890	-1.53	-1.731	-1.584	-1.456	-1.55	-1.564	-1.406	-1.264	-1.186	-1.006	-.876	-.638
1891	-.557	-.287	.17	.285	.061	.128	.36	.382	.192	.021	-.097	-.188
